Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost
2003-04,19,Villarreal,2–1,0–1,0–0,2–1,1–0,1–1,0–2,0–1,2–0,0–2,1–0,1–0,6–3,1–1,2–0,3–3,2–1,3–1,,1–1,,,8,38,15,9,14
2003-04,20,Zaragoza,0–1,0–0,2–2,2–1,0–1,1–1,0–1,1–1,1–0,1–3,3–0,1–0,2–2,0–0,2–1,4–4,0–1,1–0,4–1,,,,12,38,13,9,16
2002-03,1,Athletic Bilbao,,1–0,0–2,3–1,2–1,2–0,3–2,4–1,1–1,0–2,1–3,2–1,2–1,1–1,3–0,2–3,2–0,1–0,0–0,0–1,,,19,38,8,11,19
2002-03,2,Atlético Madrid,3–3,,3–0,1–0,0–1,0–1,3–1,3–3,2–1,2–1,0–1,1–2,2–0,0–4,1–2,1–1,1–1,1–1,1–0,3–2,,,7,38,15,10,13
2002-03,3,Barcelona,2–2,2–2,,4–0,2–0,6–1,2–4,2–0,2–1,1–2,2–2,6–1,3–0,0–0,2–1,3–0,0–3,2–4,1–1,1–0,,,12,38,12,11,15
2002-03,4,Betis,1–0,2–2,3–0,,2–1,2–2,0–2,1–1,3–0,0–1,2–1,4–2,0–1,1–1,3–2,1–1,0–1,2–0,2–2,2–1,,,6,38,15,11,12
2002-03,5,Celta de Vigo,2–1,0–0,2–0,1–0,,2–1,3–0,1–0,2–2,3–1,0–0,2–2,0–1,0–1,3–2,4–1,0–1,1–1,0–0,3–1,,,8,38,14,12,12
2002-03,6,Alavés,2–4,2–0,0–0,0–1,0–0,,1–2,2–1,0–1,0–0,1–1,0–1,1–1,1–5,2–2,3–0,1–0,0–0,1–1,1–0,,,4,38,17,10,11
2002-03,7,Deportivo La Coruña,2–1,3–2,2–0,2–4,3–0,6–0,,2–1,1–0,2–2,1–1,0–2,2–0,0–0,2–1,5–0,3–1,1–2,2–0,2–1,,,3,38,22,6,10
2002-03,8,Espanyol,3–3,1–2,0–2,2–4,0–0,3–1,3–1,,2–1,2–0,0–0,3–0,3–1,2–2,1–3,2–0,0–0,0–1,1–0,2–2,,,17,38,10,13,15
2002-03,9,Málaga,3–0,3–1,0–0,0–0,1–1,0–0,0–2,3–4,,1–0,1–0,2–2,2–1,2–3,0–2,4–0,3–2,2–2,1–0,1–1,,,13,38,11,13,14
2002-03,10,Mallorca,1–1,0–4,0–4,2–1,0–2,3–1,3–0,2–0,1–0,,2–0,3–3,1–1,1–5,1–3,1–1,1–3,0–2,2–1,1–1,,,9,38,14,10,14
2002-03,11,Osasuna,1–5,1–0,2–2,2–1,0–2,4–2,1–2,1–0,0–1,0–0,,3–1,0–1,1–0,2–3,0–1,2–1,1–0,1–1,0–1,,,11,38,12,11,15
2002-03,12,Racing Santander,3–4,0–2,1–1,0–1,3–0,2–0,1–2,5–2,1–0,1–2,2–3,,2–0,2–0,1–2,1–0,1–0,2–1,0–1,1–1,,,16,38,13,5,20
2002-03,13,Rayo Vallecano,1–1,0–0,1–0,1–1,1–0,2–2,1–2,0–3,2–1,1–2,0–0,3–1,,2–3,0–0,0–0,0–1,0–4,0–1,2–2,,,20,38,7,11,20
2002-03,14,Real Madrid,3–1,2–2,1–1,4–1,1–1,5–2,2–0,2–0,5–1,1–5,4–1,4–1,3–1,,0–0,4–2,3–0,4–1,3–1,1–1,,,1,38,22,12,4
2002-03,15,Real Sociedad,4–2,3–0,2–1,3–3,1–0,3–1,1–1,0–0,2–2,2–1,2–0,2–1,5–0,4–2,,1–0,1–0,1–1,2–1,2–2,,,2,38,22,10,6
2002-03,16,Recreativo,1–2,3–0,1–3,1–1,0–3,1–0,1–1,0–0,2–3,1–1,1–1,2–1,2–1,0–0,1–3,,0–0,1–1,1–3,5–0,,,18,38,8,12,18
2002-03,17,Sevilla,1–1,1–1,0–0,1–1,0–1,3–2,1–1,1–0,0–0,3–0,2–0,1–0,3–3,1–3,0–1,1–0,,0–3,2–1,3–1,,,10,38,13,11,14
2002-03,18,Valencia,5–1,0–1,1–3,1–1,0–1,3–0,0–1,1–1,2–0,1–0,1–0,2–0,3–0,1–2,2–2,3–0,1–0,,2–0,1–2,,,5,38,17,9,12
2002-03,19,Valladolid,2–0,3–1,2–1,3–0,0–2,1–3,0–1,1–1,0–0,1–3,0–2,2–1,2–0,1–1,3–0,0–1,0–0,1–0,,1–0,,,14,38,12,10,16
2002-03,20,Villarreal,1–1,4–3,2–0,1–4,5–0,0–1,3–1,0–0,0–0,1–1,2–2,0–3,2–1,0–1,0–1,1–0,1–0,0–2,1–0,,,,15,38,11,12,15
2001-02,1,Athletic Bilbao,,0–2,0–0,1–6,2–1,1–1,1–1,3–2,0–1,1–1,1–1,2–1,2–1,0–1,1–2,3–1,2–2,1–4,0–0,2–1,,,7,38,17,3,18
2001-02,2,Barcelona,1–2,,3–0,2–2,3–2,3–2,2–0,5–1,3–0,0–1,1–1,1–1,2–0,3–1,2–0,1–1,2–2,4–0,4–1,2–0,,,9,38,14,11,13
2001-02,3,Betis,1–1,2–1,,4–1,1–0,0–3,2–0,1–1,1–0,0–0,2–0,3–1,3–0,0–0,1–0,1–0,1–3,2–0,1–1,0–1,,,4,38,18,10,10
2001-02,4,Celta de Vigo,2–3,2–1,3–1,,3–1,0–2,4–1,0–0,2–0,1–1,2–2,0–1,3–1,1–2,3–0,3–2,1–1,1–1,3–1,2–0,,,6,38,15,14,9
2001-02,5,Alavés,2–3,2–0,0–1,1–0,,2–3,2–1,1–0,0–4,0–2,0–1,0–0,2–0,0–1,1–0,1–0,1–2,3–1,2–1,2–1,,,5,38,16,12,10
2001-02,6,Deportivo La Coruña,1–2,2–1,2–0,2–2,0–1,,3–1,2–2,5–0,5–1,1–1,3–0,3–1,1–0,3–1,1–0,1–0,4–0,0–0,1–0,,,2,38,20,8,10
2001-02,7,Espanyol,2–0,2–0,1–1,2–0,1–2,1–0,,1–2,2–1,1–1,3–1,2–1,1–2,2–3,2–0,3–1,2–3,1–0,3–1,2–1,,,14,38,13,8,17
2001-02,8,Málaga,1–2,1–1,3–2,2–2,1–0,1–1,2–0,,0–0,2–1,0–0,1–1,1–0,1–3,2–0,1–1,0–2,1–2,2–1,2–1,,,18,38,9,13,16
2001-02,9,Mallorca,3–0,0–0,1–3,0–1,0–0,4–1,2–1,1–1,,4–2,3–0,1–1,0–2,0–4,2–0,0–3,1–1,2–1,0–1,0–1,,,10,38,13,14,11
2001-02,10,Osasuna,0–1,0–0,1–2,0–3,0–1,1–3,1–1,0–2,4–0,,1–0,3–1,1–1,1–0,0–2,3–2,0–0,1–0,2–2,0–0,,,16,38,11,10,17
2001-02,11,Rayo Vallecano,4–2,2–1,0–0,1–0,2–0,2–1,2–2,3–0,0–2,0–1,,0–3,2–1,2–1,2–0,0–0,2–1,1–0,1–2,1–2,,,17,38,10,12,16
2001-02,12,Real Madrid,2–0,2–0,1–1,1–1,3–1,3–1,5–1,1–1,0–0,2–1,3–1,,3–1,2–1,4–1,7–0,1–0,2–2,3–0,3–1,,,11,38,13,10,15
2001-02,13,Real Sociedad,1–3,0–2,0–0,0–0,1–2,1–1,1–0,2–1,1–2,2–1,2–2,3–0,,3–3,0–2,1–1,2–0,6–0,2–1,3–1,,,3,38,19,9,10
2001-02,14,Sevilla,3–3,1–2,0–0,0–1,2–0,0–1,3–0,0–2,2–2,0–0,2–1,0–1,0–1,,2–0,1–1,1–1,4–0,1–0,4–2,,,13,38,13,8,17
2001-02,15,Tenerife,2–3,0–6,2–1,1–1,0–2,3–1,1–1,1–0,0–0,3–1,3–1,0–2,0–1,1–1,,1–3,0–1,1–5,2–0,0–0,,,8,38,14,11,13
2001-02,16,Las Palmas,1–1,0–0,0–0,4–2,2–1,0–1,2–0,0–0,3–1,1–1,0–2,4–2,0–0,1–0,0–1,,0–1,1–1,3–2,1–1,,,19,38,10,8,20
2001-02,17,Valencia,2–1,2–0,2–0,0–0,0–0,1–0,2–1,2–1,1–1,2–1,2–1,1–0,4–0,2–0,0–0,1–0,,1–2,1–0,2–0,,,1,38,21,12,5
2001-02,18,Valladolid,2–0,1–2,0–2,2–4,1–3,3–0,0–1,0–0,2–1,1–0,3–1,2–1,1–3,1–1,0–0,1–0,1–1,,1–0,2–0,,,12,38,13,9,16
2001-02,19,Villarreal,5–2,0–1,1–1,2–1,1–0,1–1,1–1,1–2,2–1,3–0,1–1,2–3,1–0,0–2,2–1,2–0,1–1,2–2,,2–1,,,15,38,11,10,17
2001-02,20,Zaragoza,2–2,1–1,1–1,0–1,0–2,1–2,0–0,0–2,1–0,0–1,3–2,2–1,3–2,1–1,1–1,2–1,0–1,0–0,3–2,,,,20,38,9,10,19
2000-01,1,Athletic Bilbao,,3–1,2–1,2–0,2–2,0–1,0–3,1–3,2–1,3–1,0–1,3–1,4–2,1–0,4–0,1–3,1–1,1–1,1–1,1–2,,,10,38,14,7,17
2000-01,2,Barcelona,7–0,,1–1,3–2,2–3,4–2,4–1,2–1,1–1,1–1,2–0,3–1,5–1,2–0,0–1,3–0,3–2,3–1,1–2,4–4,,,12,38,11,10,17
2000-01,3,Celta de Vigo,2–1,3–3,,1–1,2–1,1–0,0–1,1–0,2–2,1–1,1–0,1–1,1–1,3–0,1–0,4–1,3–2,2–1,1–0,1–1,,,4,38,17,12,9
2000-01,4,Alavés,2–1,0–1,2–2,,3–1,1–0,1–0,1–2,2–4,0–2,2–0,5–1,4–2,1–3,4–0,0–1,1–1,4–2,0–1,1–0,,,6,38,16,11,11
2000-01,5,Deportivo La Coruña,2–0,2–0,1–0,2–1,,1–0,4–0,4–0,1–1,4–1,2–1,2–1,1–1,2–2,3–0,4–1,2–0,1–2,4–2,2–0,,,2,38,22,7,9
2000-01,6,Espanyol,2–1,0–0,0–1,0–0,0–2,,3–2,1–2,0–1,2–0,1–2,3–0,0–0,1–2,2–0,1–2,1–0,1–0,2–1,5–0,,,9,38,14,8,16
2000-01,7,Las Palmas,0–0,0–1,0–1,0–3,2–0,1–0,,2–1,1–0,1–1,3–2,2–1,1–0,0–1,1–0,2–1,0–2,1–1,1–5,2–1,,,11,38,13,7,18
2000-01,8,Málaga,2–1,0–0,1–4,3–1,1–3,0–0,2–1,,0–1,1–3,3–1,2–1,1–1,3–3,2–2,3–0,3–0,3–1,2–1,2–0,,,8,38,16,8,14
2000-01,9,Mallorca,1–0,2–0,2–0,4–3,2–1,3–2,2–1,0–1,,2–1,1–1,2–1,4–0,1–0,4–2,1–1,2–2,1–1,2–1,2–1,,,3,38,20,11,7
2000-01,10,Numancia,0–0,1–1,4–2,2–1,1–2,2–1,0–1,3–2,0–2,,1–0,1–0,0–2,3–1,1–0,3–3,0–3,0–0,1–3,1–1,,,20,38,10,9,19
2000-01,11,Osasuna,1–1,3–1,0–2,0–1,1–1,1–3,3–3,3–3,1–0,2–0,,1–1,2–2,2–3,0–0,1–1,1–2,2–1,1–0,1–0,,,15,38,10,12,16
2000-01,12,Racing Santander,3–0,4–0,3–0,2–1,0–3,1–2,2–1,0–1,2–1,4–2,0–0,,1–1,0–0,2–0,1–4,1–1,2–2,3–1,2–1,,,18,38,11,8,19
2000-01,13,Rayo Vallecano,1–2,2–2,3–0,0–1,1–1,1–1,1–1,4–2,2–2,2–1,2–1,4–1,,0–1,0–2,4–1,1–4,2–1,0–1,0–0,,,19,38,10,9,19
2000-01,14,Real Madrid,4–1,2–2,3–0,5–0,3–0,2–2,5–1,4–3,0–2,1–0,1–1,1–0,3–1,,4–0,4–0,2–1,2–1,4–0,3–0,,,14,38,10,13,15
2000-01,15,Oviedo,5–0,2–3,3–1,3–3,2–3,2–2,2–2,3–2,1–1,3–0,2–3,1–0,4–1,1–1,,1–0,0–0,4–1,1–3,2–1,,,1,38,24,8,6
2000-01,16,Real Sociedad,0–2,0–6,2–2,1–1,1–1,2–1,1–1,4–0,0–1,4–1,0–1,2–2,2–0,1–4,3–0,,1–2,3–1,0–2,1–1,,,13,38,11,10,17
2000-01,17,Valencia,1–0,0–1,1–0,1–2,0–1,0–1,5–1,2–0,4–0,3–0,1–0,1–0,2–2,0–1,2–0,2–0,,1–0,3–1,1–0,,,5,38,18,9,11
2000-01,18,Valladolid,0–0,2–2,1–2,2–1,3–1,1–1,1–0,0–0,2–0,2–0,1–1,1–1,1–3,2–2,1–0,2–1,0–0,,0–0,2–0,,,16,38,9,15,14
2000-01,19,Villarreal,0–0,4–4,2–0,2–0,3–2,4–0,2–1,1–2,2–2,0–0,2–0,4–2,1–5,0–1,1–0,1–3,1–1,2–1,,1–1,,,7,38,16,9,13
2000-01,20,Zaragoza,2–2,3–1,1–1,2–2,2–1,1–2,3–1,1–1,1–1,3–1,4–2,2–0,6–1,2–3,5–2,1–1,1–1,0–0,0–0,,,,17,38,9,15,14
1999-00,1,Athletic Bilbao,,4–5,0–4,1–2,1–2,2–4,5–3,2–4,2–2,1–1,2–4,2–2,4–3,2–2,1–1,1–1,1–1,1–3,1–3,2–2,,,6,38,17,10,11
1999-00,2,Atlético Madrid,1–2,,0–3,0–0,3–2,1–2,4–3,1–1,2–2,1–2,2–2,2–3,3–2,1–1,5–0,1–1,1–1,3–2,3–4,2–2,,,11,38,12,14,12
1999-00,3,Barcelona,4–0,2–3,,4–1,2–2,2–1,2–3,3–0,3–2,0–3,4–0,1–3,3–2,2–2,3–5,3–4,2–3,3–0,4–0,2–3,,,19,38,9,11,18
1999-00,4,Betis,2–3,2–3,2–3,,0–0,3–1,0–0,2–5,0–0,1–3,4–2,2–2,1–1,3–2,1–3,1–3,1–4,1–3,3–1,2–3,,,2,38,19,7,12
1999-00,5,Celta de Vigo,1–1,3–1,3–2,5–1,,1–1,2–3,2–3,2–4,1–3,0–0,2–0,3–1,1–3,5–6,4–4,2–4,0–0,1–1,2–3,,,18,38,11,9,18
1999-00,6,Alavés,3–2,2–3,2–3,2–3,1–3,,2–3,0–0,2–3,2–2,2–2,2–3,3–1,1–3,1–3,2–3,0–0,3–1,1–3,3–2,,,7,38,15,8,15
1999-00,7,Deportivo La Coruña,2–3,4–1,2–3,2–3,1–3,4–1,,2–3,4–1,2–3,3–2,0–3,3–4,5–2,3–4,2–3,5–2,2–3,2–3,2–2,,,1,38,21,6,11
1999-00,8,Espanyol,0–0,3–4,1–1,3–0,3–0,4–3,0–0,,3–2,3–2,3–4,1–3,5–1,3–2,2–4,0–0,2–2,3–4,1–1,1–1,,,14,38,12,11,15
1999-00,9,Málaga,3–4,4–3,3–2,3–4,3–1,3–1,1–3,1–3,,0–0,3–1,0–0,2–3,1–1,4–0,0–0,3–0,1–1,0–0,0–0,,,12,38,11,15,12
1999-00,10,Mallorca,2–3,3–2,3–2,4–0,1–3,2–3,2–2,4–3,2–3,,3–0,4–2,2–3,3–2,1–1,2–3,3–4,1–3,0–0,1–1,,,10,38,14,9,15
1999-00,11,Numancia,1–1,3–0,3–3,3–2,3–4,0–0,1–3,2–3,1–1,3–4,,2–3,3–4,0–0,1–1,3–2,2–0,3–2,1–3,3–2,,,17,38,11,12,15
1999-00,12,Racing Santander,2–2,2–4,3–2,1–1,3–0,0–0,0–0,2–2,4–3,1–1,1–1,,1–1,1–1,3–4,0–0,2–2,1–1,1–1,4–2,,,16,38,11,12,15
1999-00,13,Rayo Vallecano,4–2,1–1,1–1,4–3,1–4,3–1,2–3,2–4,4–3,2–3,0–0,3–2,,2–3,3–2,2–3,2–0,4–3,4–1,5–1,,,15,38,10,16,12
1999-00,14,Real Madrid,3–4,4–3,3–0,2–3,1–3,3–1,1–1,2–4,1–3,2–3,4–1,5–4,0–0,,2–2,1–1,3–4,2–3,3–1,4–5,,,9,38,15,7,16
1999-00,15,Oviedo,1–3,2–2,3–0,1–1,1–4,1–2,2–1,1–2,2–2,0–0,2–3,1–2,2–3,1–1,,2–1,4–5,0–0,1–1,1–3,,,5,38,16,14,8
1999-00,16,Real Sociedad,4–1,4–1,0–0,1–2,3–2,1–1,2–1,1–3,2–2,2–4,2–4,6–5,3–4,1–1,0–0,,1–1,0–0,4–2,2–1,,,13,38,11,14,13
1999-00,17,Sevilla,0–0,2–3,3–4,3–0,3–1,2–2,4–3,4–2,0–0,0–4,4–0,1–4,4–3,1–1,4–3,2–2,,4–2,3–1,0–0,,,20,38,5,13,20
1999-00,18,Valencia,2–3,2–3,3–4,3–4,1–1,3–2,2–3,3–2,2–2,1–3,4–0,4–2,3–4,1–1,6–5,4–0,2–0,,0–0,2–4,,,3,38,18,10,10
1999-00,19,Valladolid,1–3,1–3,4–2,0–3,3–3,1–1,4–1,1–4,4–2,2–3,2–3,1–3,3–2,3–1,2–3,2–3,2–3,0–0,,1–1,,,8,38,14,11,13
1999-00,20,Zaragoza,0–0,1–1,0–0,1–3,2–3,2–3,2–3,1–1,3–4,3–0,3–3,4–1,1–1,3–1,4–0,2–3,2–4,4–5,1–1,,,,4,38,16,15,7
1998-99,1,Athletic Bilbao,,1–2,1–3,0–0,0–0,5–0,2–1,2–2,0–0,1–0,2–0,2–3,3–5,0–0,1–0,2–0,2–0,2–1,2–0,2–0,,,16,38,11,7,20
1998-99,2,Atlético Madrid,0–0,,1–1,2–3,2–1,3–0,1–1,1–2,5–0,1–2,1–1,3–1,0–0,4–1,2–0,2–0,1–2,6–1,2–2,0–0,,,8,38,17,9,12
1998-99,3,Barcelona,4–2,0–1,,4–1,2–2,7–1,4–0,3–0,1–0,2–1,3–2,3–0,3–1,4–1,1–1,4–1,2–4,1–1,1–3,3–1,,,13,38,12,10,16
1998-99,4,Betis,1–4,0–0,0–3,,0–3,1–0,0–3,0–1,1–1,1–3,1–1,3–2,5–0,1–0,1–0,1–0,0–1,2–0,4–1,1–3,,,1,38,24,7,7
1998-99,5,Celta de Vigo,3–2,0–1,0–0,4–0,,1–1,0–0,2–0,5–1,4–2,3–0,5–1,6–2,2–2,1–0,2–0,2–2,0–0,4–1,2–0,,,11,38,14,7,17
1998-99,6,Alavés,1–2,2–0,1–4,0–0,2–0,,2–1,1–1,0–1,2–0,0–1,1–1,2–2,2–1,1–0,3–1,0–1,2–0,2–1,1–0,,,5,38,17,13,8
1998-99,7,Deportivo La Coruña,1–1,1–1,2–1,2–2,2–1,2–2,,1–0,1–1,1–1,1–2,4–0,4–0,0–1,1–0,2–0,1–0,3–0,2–1,2–1,,,6,38,17,12,9
1998-99,8,Espanyol,1–1,1–1,1–2,1–0,3–0,3–0,2–2,,0–0,1–0,1–1,0–0,2–1,0–0,4–0,2–1,2–1,0–2,1–1,2–1,,,7,38,16,13,9
1998-99,9,Extremadura,0–1,2–1,1–2,2–1,1–1,1–0,1–2,1–0,,1–0,0–3,1–5,0–1,1–0,1–1,1–0,1–0,0–0,2–2,0–2,,,17,38,9,12,17
1998-99,10,Mallorca,6–1,4–0,1–0,1–0,2–0,2–1,1–2,2–0,2–0,,1–1,2–1,0–0,1–0,1–0,1–1,0–1,1–0,1–0,1–0,,,3,38,20,6,12
1998-99,11,Racing Santander,2–0,2–3,0–0,1–0,2–2,2–0,1–1,0–2,3–1,1–0,,1–3,0–0,0–1,4–1,0–0,0–1,0–2,1–2,2–4,,,14,38,11,12,15
1998-99,12,Real Madrid,0–1,4–2,2–2,0–1,1–2,3–2,3–1,2–0,2–0,2–1,2–2,,2–1,3–2,3–1,4–0,3–1,3–2,4–1,3–2,,,15,38,10,12,16
1998-99,13,Oviedo,0–0,3–1,2–1,0–1,1–3,1–0,1–2,1–1,1–0,1–3,1–0,1–0,,2–1,3–2,0–1,2–2,0–0,0–0,1–2,,,2,38,21,5,12
1998-99,14,Real Sociedad,3–1,3–2,0–2,1–0,2–0,2–1,2–0,1–2,2–0,0–1,2–0,3–2,3–3,,4–0,1–1,1–1,1–0,1–1,0–0,,,10,38,14,12,12
1998-99,15,Salamanca,2–1,2–1,1–4,1–3,1–1,1–0,3–1,2–3,2–1,0–0,1–2,1–1,1–1,0–1,,1–2,0–1,1–0,1–0,1–2,,,20,38,7,6,25
1998-99,16,Tenerife,0–1,1–0,2–3,3–2,0–2,1–2,1–1,0–0,1–1,1–1,2–2,2–3,0–2,2–2,1–0,,3–2,2–2,2–2,1–1,,,19,38,7,13,18
1998-99,17,Valencia,4–1,1–0,1–3,5–1,2–2,5–0,0–0,1–2,1–1,3–0,3–0,3–1,3–0,2–0,1–0,1–1,,0–1,1–0,1–1,,,4,38,19,8,11
1998-99,18,Valladolid,0–3,1–0,0–1,0–3,2–1,3–0,0–1,2–1,0–0,1–0,0–0,0–1,2–1,0–0,4–1,2–1,3–1,,1–0,1–1,,,12,38,13,9,16
1998-99,19,Villarreal,0–1,2–1,2–3,3–4,1–1,2–0,1–2,2–2,1–1,0–2,3–0,0–2,0–0,1–1,5–0,2–5,1–0,2–1,,1–1,,,18,38,8,12,18
1998-99,20,Zaragoza,2–0,2–0,2–0,2–2,0–1,1–1,3–1,0–3,3–1,0–1,3–1,3–4,1–0,1–1,2–0,3–1,1–4,2–0,4–0,,,,9,38,16,9,13
1997-98,1,Athletic Bilbao,,1–0,3–0,0–0,2–1,2–0,1–1,1–3,3–1,5–1,4–3,1–1,3–0,1–1,1–0,2–2,3–0,0–3,2–0,1–0,,,2,38,17,14,7
1997-98,2,Atlético Madrid,3–0,,5–2,0–0,3–3,3–1,3–0,0–2,2–3,4–0,2–1,1–1,4–1,2–2,1–1,2–1,2–2,3–1,5–0,2–1,,,7,38,16,12,10
1997-98,3,Barcelona,4–0,3–1,,1–3,3–2,2–0,2–1,3–1,0–0,3–1,2–0,3–0,2–1,3–0,1–4,2–1,3–2,3–4,1–2,1–0,,,1,38,23,5,10
1997-98,4,Betis,1–1,2–3,0–2,,2–0,1–0,1–0,1–3,2–1,2–1,0–2,3–2,1–1,0–0,2–1,2–1,3–0,1–0,3–0,3–3,,,8,38,17,8,13
1997-98,5,Celta de Vigo,1–1,1–1,3–1,2–0,,3–3,2–1,1–0,1–0,2–0,1–2,2–1,3–0,2–1,4–1,1–0,0–0,1–0,2–0,2–1,,,6,38,17,9,12
1997-98,6,Compostela,1–4,2–1,2–2,2–3,0–0,,0–0,1–1,2–2,3–0,3–1,2–3,1–0,1–3,2–0,2–0,1–2,3–1,0–0,2–0,,,17,38,11,11,16
1997-98,7,Deportivo La Coruña,3–0,2–2,3–1,2–0,1–1,2–6,,1–1,1–1,0–1,4–1,2–2,2–1,1–1,1–0,2–1,1–0,1–2,1–3,2–1,,,12,38,12,13,13
1997-98,8,Espanyol,0–1,2–2,1–1,5–0,1–1,1–0,2–0,,1–0,0–0,0–0,1–0,0–0,0–3,3–0,1–1,2–0,3–0,2–0,0–1,,,10,38,12,17,9
1997-98,9,Mallorca,4–0,2–1,0–1,1–2,4–2,2–1,0–0,2–2,,1–0,2–1,0–0,1–1,0–1,1–0,6–2,5–1,2–1,1–1,0–2,,,5,38,16,12,10
1997-98,10,Mérida,0–0,2–1,1–2,1–3,4–0,3–3,1–0,1–1,0–0,,1–2,2–2,2–1,3–1,1–0,1–0,1–1,1–0,0–0,0–1,,,19,38,9,12,17
1997-98,11,Racing Santander,0–0,0–1,2–4,2–0,2–1,1–1,0–1,1–1,0–1,2–0,,1–2,0–0,3–1,1–0,4–1,2–1,2–1,1–2,2–3,,,18,38,9,13,16
1997-98,12,Real Madrid,0–0,1–1,2–3,1–0,3–1,2–1,0–0,2–1,2–0,1–0,2–2,,5–1,2–0,1–0,3–0,3–0,1–2,3–1,0–2,,,14,38,12,9,17
1997-98,13,Oviedo,1–2,0–2,1–0,0–0,3–1,1–1,1–1,1–1,0–1,2–0,0–1,1–1,,0–5,2–0,2–1,1–0,0–0,0–1,3–0,,,4,38,17,12,9
1997-98,14,Real Sociedad,1–1,0–0,2–2,2–0,2–1,5–1,1–1,2–0,1–0,2–1,1–0,4–2,2–2,,1–1,2–1,1–1,1–1,3–0,0–1,,,3,38,16,15,7
1997-98,15,Salamanca,0–0,5–4,4–3,0–0,0–1,0–1,4–1,2–1,1–1,3–1,0–0,0–2,0–2,0–0,,4–0,2–0,6–0,1–0,1–2,,,15,38,12,9,17
1997-98,16,Sporting Gijón,1–2,2–3,1–4,2–3,0–1,0–2,0–3,1–0,1–3,0–0,2–1,0–2,1–2,0–2,1–1,,0–2,0–3,1–2,2–3,,,20,38,2,7,29
1997-98,17,Tenerife,0–2,2–2,1–1,3–1,1–3,5–1,0–0,0–0,1–4,1–1,2–2,4–3,1–0,0–0,2–0,2–1,,3–2,1–0,0–0,,,16,38,11,12,15
1997-98,18,Valencia,1–1,4–1,0–3,1–0,2–1,4–1,1–0,0–0,0–0,3–0,6–1,0–2,1–1,3–2,0–1,2–2,1–2,,1–2,2–1,,,9,38,16,7,15
1997-98,19,Valladolid,3–0,2–1,1–2,1–3,0–0,4–1,1–0,0–0,0–0,0–0,0–0,1–1,1–0,0–4,1–2,1–1,2–1,0–3,,4–0,,,11,38,13,11,14
1997-98,20,Zaragoza,1–1,1–5,1–2,3–1,1–0,2–2,1–2,1–1,2–3,1–1,2–0,2–2,3–3,0–0,1–1,0–0,1–0,0–2,0–0,,,,13,38,12,12,14
1996-97,1,Athletic Bilbao,,1–1,2–1,0–3,2–2,2–2,1–0,2–2,0–0,5–0,6–0,2–2,3–2,1–0,3–2,1–3,0–0,4–0,2–0,2–0,0–0,2–2,6,42,16,16,10
1996-97,2,Atlético Madrid,2–1,,2–5,2–2,2–0,4–1,0–2,2–1,1–1,3–0,2–0,1–0,1–3,1–4,3–0,2–2,3–2,2–1,0–3,1–4,3–1,5–1,5,42,20,11,11
1996-97,3,FC Barcelona,2–0,3–3,,3–0,1–0,3–0,1–0,2–1,3–0,2–3,8–0,1–0,6–0,1–0,2–2,3–2,4–0,4–0,1–1,3–2,6–1,4–1,2,42,28,6,8
1996-97,4,Betis,3–0,3–2,2–4,,1–1,0–0,1–2,1–2,3–1,2–1,5–1,2–2,3–0,1–1,4–0,2–1,3–3,0–1,3–1,1–1,2–0,2–2,4,42,21,14,7
1996-97,5,Celta de Vigo,0–2,1–1,1–3,0–2,,1–2,1–1,2–2,0–1,3–0,4–0,1–1,2–0,4–0,3–1,1–1,4–2,2–1,3–1,1–1,0–2,0–0,16,42,12,13,17
1996-97,6,SD Compostela,1–1,3–1,1–5,0–2,2–1,,0–0,3–1,4–0,2–2,1–2,1–1,2–1,1–2,0–2,1–2,2–0,2–1,1–1,0–3,1–1,2–1,11,42,13,14,15
1996-97,7,Deportivo de La Coruna,2–2,0–0,0–1,3–0,2–2,1–0,,2–0,1–0,4–0,4–1,2–1,1–1,1–1,3–0,1–0,3–0,0–0,0–0,1–0,0–2,1–0,3,42,21,14,7
1996-97,8,RCD Espanyol,0–2,0–0,2–0,0–0,0–0,0–2,0–1,,5–1,2–1,5–1,0–0,0–0,0–2,2–0,3–0,1–0,2–3,1–0,3–2,1–0,3–0,12,42,14,9,19
1996-97,9,CF Extremadura,1–2,2–4,1–3,0–3,2–0,1–1,1–0,3–0,,0–0,3–0,1–2,1–0,0–0,0–2,1–0,0–1,1–2,2–0,1–0,1–1,2–1,19,42,11,11,20
1996-97,10,Hércules CF,3–2,0–2,2–1,0–1,0–2,1–0,1–3,1–2,2–1,,1–0,0–1,1–0,2–3,1–1,2–1,3–0,1–1,3–1,0–2,1–0,1–1,21,42,12,5,25
1996-97,11,CD Logroñés,1–4,0–3,0–1,2–1,0–3,1–1,1–2,1–0,0–0,3–2,,1–1,0–2,0–2,1–1,1–0,2–0,0–2,0–1,2–1,0–1,1–2,22,42,9,6,27
1996-97,12,Racing de Santander,1–2,1–1,1–1,1–1,1–0,2–2,1–1,1–1,2–3,1–2,2–1,,1–2,2–2,1–0,1–2,1–4,2–0,1–2,3–2,2–0,1–2,17,42,12,12,18
